actionid,casenumber,actionposition,actiontypecode,actiontype,actionstatuscode,utcstartdate,utcenddate,duration,actioneditororganisation,actioneditordepartment,actioncreatororganisation,actioncreatordepartment,referencetype,actioncallstate
933118691,***MASKED***,7,10,Outgoing call,20,2024-01-11 14:37:53.000000,2024-01-11 14:40:39.000000,2.7666666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933120141,***MASKED***,6,10,Outgoing call,20,2024-01-11 15:08:23.000000,2024-01-11 15:30:34.000000,22.183333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933120743,***MASKED***,23,10,Outgoing call,20,2024-01-11 15:20:00.000000,2024-01-11 16:36:13.000000,76.21666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933125581,***MASKED***,22,10,Outgoing call,20,2024-01-11 18:54:30.000000,2024-01-11 19:04:47.000000,10.283333333333331,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933126955,***MASKED***,28,10,Outgoing call,20,2024-01-11 20:41:46.000000,2024-01-11 20:45:23.000000,3.6166666666666663,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933130120,***MASKED***,4,10,Outgoing call,20,2024-01-12 01:39:08.000000,2024-01-12 01:42:01.000000,2.8833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933134035,***MASKED***,11,10,Outgoing call,20,2024-01-12 06:19:47.000000,2024-01-12 07:11:51.000000,52.06666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933138561,***MASKED***,4,10,Outgoing call,20,2024-01-12 07:50:35.000000,2024-01-12 08:59:58.000000,69.38333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933143110,***MASKED***,3,10,Outgoing call,20,2024-01-12 09:06:47.000000,2024-01-12 09:06:53.000000,0.1,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933146950,***MASKED***,13,10,Outgoing call,20,2024-01-12 10:11:18.000000,2024-01-12 10:21:55.000000,10.616666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933153383,***MASKED***,13,10,Outgoing call,20,2024-01-12 12:49:21.000000,2024-01-12 13:21:29.000000,32.13333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933154102,***MASKED***,3,10,Outgoing call,20,2024-01-12 13:06:10.000000,2024-01-12 13:10:41.000000,4.516666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933154870,***MASKED***,15,10,Outgoing call,20,2024-01-12 13:19:50.000000,2024-01-12 13:27:14.000000,7.4,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933155708,***MASKED***,16,10,Outgoing call,20,2024-01-12 13:34:53.000000,2024-01-12 13:35:14.000000,0.35,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933161095,***MASKED***,7,10,Outgoing call,20,2024-01-12 15:47:44.000000,2024-01-12 15:51:34.000000,3.8333333333333335,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
